16 окт. 2025 11:33:36,765  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1479, SID: hostGoals(game)]
16 окт. 2025 11:33:39,076  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:33:39,080  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:33:41,745  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1483, SID: guestTeamName(game)]
16 окт. 2025 11:33:41,751  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1483, SID: guestTeamName(game)]
16 окт. 2025 11:33:43,398  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:33:43,407  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:34:00,997  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:34:01,011  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:34:05,590  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1477, SID: date(game)]
16 окт. 2025 11:34:05,594  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1477, SID: date(game)]
16 окт. 2025 11:34:07,323  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1478, SID: hostTeamName(game)]
16 окт. 2025 11:34:07,332  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1478, SID: hostTeamName(game)]
16 окт. 2025 11:34:12,374  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1479, SID: hostGoals(game)]
16 окт. 2025 11:34:12,381  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1479, SID: hostGoals(game)]
16 окт. 2025 11:34:13,438  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:34:13,449  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1482, SID: guestGoals(game)]
16 окт. 2025 11:34:19,331  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1483, SID: guestTeamName(game)]
