16 окт. 2025 11:25:11,725  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,725  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,727  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,728  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,730  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,731  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,733  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,734  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,738  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,739  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,742  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,743  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,743  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,744  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:27:20,462  -  -   INFO SQLConnectionLogger - NEW CONNECTION : 6908, Time : 22, Current connections count : 1
16 окт. 2025 11:27:20,489  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,500  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,502  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,568  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,569  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,599  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,606  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,659  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,663  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,674  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,677  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,678  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,679  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,681  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,681  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,739  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,748  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,753  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,755  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,756  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,760  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,763  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,764  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,765  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,767  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6908, Current connections count : 1
16 окт. 2025 11:27:20,772  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6908, Current connections count : 1
