16 окт. 2025 11:28:33,702  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 3]
16 окт. 2025 11:28:33,708  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 3] finished
16 окт. 2025 11:28:33,708  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 3] for request #3
16 окт. 2025 11:28:35,124  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: run, rq: 4] for request #4
16 окт. 2025 11:28:35,124  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: run, rq: 4] for request #4
16 окт. 2025 11:28:35,125  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: run, rq: 4] for request #4
16 окт. 2025 11:28:38,417  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] for request #5
16 окт. 2025 11:28:38,418  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] for request #5
16 окт. 2025 11:28:38,418  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5]
16 окт. 2025 11:28:38,490  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] called pauseForUserInteraction: [FormClientAction[showFormType: DOCKED_MODAL]]
16 окт. 2025 11:28:38,544  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:28:38,544  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:28:38,544  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: gainedFocus, rq: 0]
16 окт. 2025 11:28:38,545  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: gainedFocus, rq: 0] finished
16 окт. 2025 11:28:38,545  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:28:43,844  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:43,844  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:43,844  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: executeEventAction, rq: 1]
16 окт. 2025 11:28:43,846  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: executeEventAction, rq: 1] finished
